CVE;CVSS;Severity;Vector;CWE;Bulletin;Affected Product;Affected Version;Fixed In
CVE-2021-1106;8.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-284;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-1107;8.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-284;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-1108;7.3;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:H;CWE-190;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-1112;5.5;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H;CWE-476;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-4034;7.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H;CWE-20;5321;Jetson AGX Xavier series, Jetson Xavier NX, Jetson TX1, Jetson TX2 series, Jetson TX2 NX;All 32.x versions prior to 32.7.1;32.7.1
CVE-2021-4034;7.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H;CWE-20;5321;Jetson Nano, Jetson Nano 2GB;All 32.x versions prior to 32.7.1;32.7.1
CVE-2021-34401;8.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-284;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-34401;8.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-284;5321;Jetson AGX Xavier series, Jetson Xavier NX, Jetson TX1, Jetson TX2 series, Jetson TX2 NX;All 32.x versions prior to 32.7.1;32.7.1
CVE-2021-34401;8.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-284;5321;Jetson Nano, Jetson Nano 2GB;All 32.x versions prior to 32.7.1;32.7.1
CVE-2021-34402;6.7;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H;CWE-119;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-34403;7.8;HIGH;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H;CWE-416;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-34404;7.1;HIGH;CVSS:3.1/AV:P/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H;CWE-636;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-34405;5.5;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H;CWE-690;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
CVE-2021-34406;4.7;MEDIUM;CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H;CWE-476;5259;SHIELD TV;Shield Experience prior to SE 9.0;Shield Experience Upgrade SE 9.0
